occid,catalognumber,family,sciname,cleanedname,eventdate,island,locality,decimalLatitude,decimallongitude,coordinateUncertaintyInMeters
1382352,289405,Amastridae,Amastra intermedia,Amastra intermedia,2008-03-26,Oahu,"Puu Hapapa - rock slide, 60 degree slope, hanging valley",21.46933,-158.10638,20
1381398,289404,Amastridae,Amastra intermedia,Amastra intermedia,2012-03-29,Oahu,"Mikilua gulch, steep, loose dirt and gravel",21.46915,-158.10635,7
1381371,289403,Amastridae,Amastra intermedia,Amastra intermedia,2013-12-17,Oahu,Puu Hapapa,21.469217,-158.106367,7
133942,11923,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Nuuanu,21.341559,-157.82417,4623
1289364,40280,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Lehui,21.4333,-157.9667,36965
1289499,133933,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,[no specific locality],21.4333,-157.9667,36518
1280246,136716,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Lehui,21.4333,-157.9667,36965
1280247,136717,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Lehui,21.4333,-157.9667,36965
1288652,136718,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Lehui,21.4333,-157.9667,36965
1288653,136719,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Lehui,21.4333,-157.9667,36965
1289551,140344,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,[no specific locality],21.4333,-157.9667,36518
1290095,141436,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,[no specific locality],21.4333,-157.9667,36518
1391906,395982,Achatinellidae,"Achatinella intermedia (Newcomb, 1854)",Amastra intermedia,,Oahu,Oahu,21.4333,-157.9667,27886
132634,1387,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Oahu,21.46389,-157.95309,
1380006,14252,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Oahu,21.46389,-157.95309,36721
1365136,49310,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Oahu,21.46389,-157.95309,36721
1365602,87565,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Oahu,21.46389,-157.95309,36721
1365990,87637,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Oahu,21.46389,-157.95309,36721
1289968,141542,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Popou-wela (Popouwela),21.464347,-158.100176,2500
1289365,40281,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Waianae,21.466293,-158.166649,4521
1288654,136720,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Waianae,21.466293,-158.166649,4521
1288655,136721,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Waianae,21.466293,-158.166649,4521
1288656,136722,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Waianae,21.466293,-158.166649,4521
1282061,141437,Achatinellidae,Achatinella intermedia,Amastra intermedia,,Oahu,Waianae,21.466293,-158.166649,4521
1282343,294923,Achatinellidae,Achatinella intermedia,Amastra intermedia,,Oahu,Waianae,21.466293,-158.166649,4521
1299846,92470,Amastridae,Paramastra intermedia,Amastra intermedia,,Oahu,"Wainae, Oahu",21.481868,-158.158771,16280
1299848,92472,Amastridae,Paramastra intermedia,Amastra intermedia,,Oahu,"Wainae, Oahu",21.481868,-158.158771,16280
133943,11924,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Waianae,21.491559,-158.052353,15902
1334175,95963,Amastridae,Amastra intermedia,Amastra intermedia,,Oahu,Waianae Mountains,21.497321,-158.139393,17802
154432,50779,Amastridae,Amastra,Amastra micans,1922-01-01,Oahu,Waianae Mts.; Pukaloa,21.484783,-158.123417,911
154442,50789,Amastridae,Amastra,Amastra micans,1922-01-01,Oahu,Waianae Mts.; Haleanau,21.49825,-158.1298833,
156078,54162,Amastridae,Amastra,Amastra micans,1923-05-08,Oahu,Waianae Mts.; Kaala; E ridge,21.50713334,-158.1390333,
6558,89362,Amastridae,Amastra,Amastra micans,1928-05-27,Oahu,Waianae Mts.; Pakaloa - Haleanau; along old fire-break trail,21.518056,-158.080704,1023
25951,114775,Amastridae,Amastra,Amastra micans,1932-09-03,Oahu,"Waianae Mountains; Kanehoa, Central Ridge of; between forks of Huliwai Gulch; Loc. 7",21.4539917,-158.0955278,
26401,115227,Amastridae,Amastra,Amastra micans,1932-09-11,Oahu,Oʻahu,21.46389,-157.95309,
36342,125891,Amastridae,Amastra,Amastra micans,1934-01-21,Oahu,Waianae Mountains; Ekahanui; Valley I; Loc. 3 = W410 F-6,21.438043,-158.092046,50
36730,126279,Amastridae,Amastra,Amastra micans,1934-02-04,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400 A-10,21.452138,-158.094508,75
37100,126626,Amastridae,Amastra,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,50
37130,126656,Amastridae,Amastra,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai>Waieli; Loc. 4 = W400-11,21.454461,-158.092344,100
48638,165178,Amastridae,Amastra,Amastra micans,1936-03-15,Oahu,Waianae Mountains; South Haleauau; Loc. 3 = W320H-2,21.496443,-158.132331,50
73279,211462,Amastridae,Amastra,Amastra micans,1941-09-16,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. 2,21.4297222,-158.0369444,
1290658,345995,Amastridae,Paramastra frosti,Amastra micans,1901-01-01,Oahu,Oahu,21.46389,-157.95309,36721
41935,131397,Amastridae,Amastra micans,Amastra micans,1910-05-01,Oahu,Waianae Mountains; Pukaloa,21.484783,-158.123417,911
50251,167798,Amastridae,Amastra micans,Amastra micans,1911-01-01,Oahu,Waianae Mountains; [Haleauau],21.503072,-158.108431,3467
139777,22964,Amastridae,Amastra micans,Amastra micans,1911-08-26,Oahu,Waianae; Waianae Valley; Kololua; large valley W of house near ridge,21.476344,-158.164072,
139778,22965,Amastridae,Amastra micans,Amastra micans,1911-08-26,Oahu,Waianae; Waianae Valley; Kololua; large valley W of house near ridge,21.476344,-158.164072,
139966,23394,Amastridae,Amastra frosti,Amastra micans,1911-11-05,Oahu,Waianae Mts.; Popouwela,21.46666666,-158.1,
148062,36808,Amastridae,Amastra frostii,Amastra micans,1913-03-01,Oahu,Waianae Mts.; Popouwela,21.46666666,-158.1,
148064,36810,Amastridae,Amastra micans frostii,Amastra micans,1913-03-01,Oahu,Waianae Mts.; Pukaloa,21.484783,-158.123417,911
148069,36815,Amastridae,Amastra micans frostii,Amastra micans,1913-03-01,Oahu,Waianae Mts.; Haleanau,21.49825,-158.1298833,
146961,33818,Amastridae,Amastra frosti,Amastra micans,1913-03-16,Oahu,Waianae Mts.; Popouwela; W ridge; 33737-33809,21.465655,-158.113947,
146962,33819,Amastridae,Amastra frosti,Amastra micans,1913-03-16,Oahu,Waianae Mts.; Popouwela; W ridge; 33737-33809,21.465655,-158.113947,
147613,35452,Amastridae,Amastra micans,Amastra micans,1913-11-23,Oahu,Waianae Mts.; Popouwela,21.46666666,-158.1,
15482,102782,Amastridae,Amastra micans,Amastra micans,1914-01-31,Oahu,Waianae Mts.; Pukaloa Valley,21.484991,-158.126586,872
148176,37090,Amastridae,Amastra micans frostii,Amastra micans,1914-09-17,Oahu,Waianae Mts.; Kanehoa; 2nd valley E of peak,21.4539861,-158.0895806,
33641,123256,Amastridae,Amastra micans,Amastra micans,1915-01-17,Oahu,"Waianae Mountains; Huliwai Gulch; Loc. = W400-5; ""Valley on left of Popouwela Ridge""; {Correct loc. = W400-11-12a -?}",21.455298,-158.091976,165
33703,123319,Amastridae,Amastra micans,Amastra micans,1915-04-07,Oahu,Waianae Mountains; East Kahanui Gulch; Valley IIF; Loc. W410-6,21.440727,-158.097137,100
33583,123198,Amastridae,Amastra micans,Amastra micans,1919-01-19,Oahu,Waianae Mountains; Pukaloa; Loc. W340-(3a-6a),21.483809,-158.125493,365
33584,123199,Amastridae,Amastra micans,Amastra micans,1919-01-19,Oahu,Waianae Mountains; Pukaloa; Loc. W340-(3a-6a),21.483809,-158.125493,365
33478,123093,Amastridae,Amastra micans,Amastra micans,1920-06-13,Oahu,Waianae Mountains; Haleauau; Loc. W320-4,21.500556,-158.131942,50
4635,59045,Amastridae,Amastra erecta,Amastra micans,1922-01-01,Oahu,Oahu,21.46389,-157.95309,
1306353,380120,Amastridae,Amastra micans,Amastra micans,1923-05-08,Oahu,"Kaala, Waianae Mountains, Oahu",21.52,-158.15,
15481,102781,Amastridae,Amastra micans,Amastra micans,1925-04-30,Oahu,Waianae Mountains; Kalena,21.48904,-158.13241,2
9869,93391,Amastridae,Amastra micans frostii,Amastra micans,1926-12-27,Oahu,Waianae Mts.; Pukaloa Valley,21.484991,-158.126586,872
33503,123118,Amastridae,Amastra micans,Amastra micans,1926-12-31,Oahu,"Waianae Mountains; Haleauau; Loc. W320C-2 - ""South fork, Haleauaua Valley""",21.49758,-158.134065,180
33509,123124,Amastridae,Amastra micans frostii,Amastra micans,1926-12-31,Oahu,"Waianae Mountains; Haleauau; Loc. W320C-2 - ""South slope, on fire break trail""",21.498234,-158.13341,50
9908,93430,Amastridae,Amastra micans,Amastra micans,1926-12-31,Oahu,Waianae Mountains; Haleauau,21.517722,-158.112878,3242
9845,93367,Amastridae,Amastra micans,Amastra micans,1927-01-23,Oahu,Haleauau,21.50945,-158.138969,394
33562,123177,Amastridae,Amastra micans,Amastra micans,1927-01-23,Oahu,"Waianae Mountains; Haleauau = ""Left of main branch""",21.517722,-158.112878,3242
33486,123101,Amastridae,Amastra micans,Amastra micans,1927-01-28,Oahu,"Waianae Mountains; Haleauau; Loc. W320C-2 - ""South fork, Haleauaua Valley""",21.49758,-158.134065,180
1304348,378062,Amastridae,Amastra micans,Amastra micans,1928-04-21,Oahu,"Glen at head of Fire Trail about 150 feet from trail, Leilehua, near Kaala (Haleauau), Oahu",21.52,-158.08,
6638,89442,Amastridae,Amastra micans,Amastra micans,1928-05-27,Oahu,Haleauau; East branch; along old fire break trail,21.520406,-158.085034,681
6639,89443,Amastridae,Amastra micans,Amastra micans,1928-05-27,Oahu,Haleauau; East branch; along old fire break trail,21.520406,-158.085034,681
6640,89444,Amastridae,Amastra micans,Amastra micans,1928-05-27,Oahu,Haleauau; East branch; along old fire break trail,21.520406,-158.085034,681
1304900,378613,Amastridae,Amastra micans,Amastra micans,1929-06-06,Oahu,"Head of Forest Trail, Waianae, Oahu",21.47,-158.17,
11022,96517,Amastridae,Amastra micans,Amastra micans,1929-06-06,Oahu,"Waianae Mountains; 1/2 way up spur, where ending at base of high cliffs",21.48698,-158.147594,16279
17468,105444,Amastridae,Amastra micans,Amastra micans,1930-03-27,Oahu,Waianae,21.491559,-158.052353,15902
17409,105406,Amastridae,Amastra micans,Amastra micans,1931-07-18,Oahu,Oahu,21.46389,-157.95309,
44253,133715,Amastridae,Amastra micans,Amastra micans,1931-12-01,Oahu,"Waianae Mountains; Ekahanui Kanehoa; South fork, high up; Loc. = W410F-3a,5,6,7a",21.438388,-158.09204,120
44237,133699,Amastridae,Amastra micans,Amastra micans,1931-12-01,Oahu,"Waianae Mountains; Ekahanui, South branch high up (central fork); Loc. = W410D-2a",21.440704,-158.094086,113
19746,108637,Amastridae,Amastra micans,Amastra micans,1932-01-01,Oahu,Mt. Kaala; inland 1500 feet,21.5,-158.1333,301
1285611,240821,Amastridae,Amastra frosti,Amastra micans,1932-03-31,Oahu,ridge between Palikea and Green Peak,21.4144,-158.100364,1807
